,Year,Area
0,1917,368.7
1,1918,221.5
2,1919,184279.7000000001
3,1920,149810.10000000003
4,1921,77544.6
5,1922,670665.5999999999
6,1923,73562.29999999999
7,1924,185391.20000000007
8,1925,468972.60000000015
9,1926,284033.99999999994
10,1927,51520.60000000001
11,1928,57256.0
12,1929,355858.40000000014
13,1930,291926.7999999998
14,1931,439551.30000000016
15,1932,153689.00000000003
16,1933,120286.39999999998
17,1934,279476.3000000001
18,1935,20905.6
19,1936,198693.1
20,1937,22939.3
21,1938,276035.0
22,1939,75885.6
23,1940,203045.99999999997
24,1941,61938.39999999998
25,1942,134021.1
26,1943,39129.5
27,1944,309610.8999999999
28,1945,148537.29999999996
29,1946,114725.59999999999
30,1947,27885.099999999988
31,1948,186838.99999999994
32,1949,51557.20000000001
33,1950,393195.2999999999
34,1951,174092.1000000001
35,1952,68881.29999999999
36,1953,25534.600000000006
37,1954,3797.0
38,1955,22488.100000000002
39,1956,217623.39999999994
40,1957,28487.600000000006
41,1958,861066.4999999997
42,1959,121229.5999999999
43,1960,126925.4
44,1961,509799.0999999998
45,1962,17205.499999999996
46,1963,20112.6
47,1964,3079.699999999999
48,1965,131218.60000000003
49,1966,23208.5
50,1967,111294.50000000003
51,1968,17795.799999999996
52,1969,163296.6
53,1970,101544.30000000002
54,1971,343346.2
55,1972,22828.6
56,1973,33895.5
57,1974,21112.50000000002
58,1975,24283.900000000005
59,1976,50785.50000000002
60,1977,3125.800000000001
61,1978,47995.3
62,1979,24517.999999999993
63,1980,63298.100000000035
64,1981,115516.70000000006
65,1982,354337.10000000003
66,1983,78113.69999999995
67,1984,20187.4
68,1985,230366.99999999994
69,1986,16636.5
70,1987,32128.599999999995
71,1988,5992.799999999999
72,1989,22180.299999999985
73,1990,69474.29999999999
74,1991,23939.89999999999
75,1992,24119.299999999996
76,1993,4244.400000000001
77,1994,23245.499999999996
78,1995,47809.20000000001
79,1996,21685.300000000003
80,1997,2058.0
81,1998,78667.29999999999
82,1999,14885.799999999997
83,2000,4807.100000000001
84,2001,6411.8
85,2002,4219.6
86,2003,233258.99999999997
87,2004,196523.79999999993
88,2005,25040.2
89,2006,139177.09999999998
90,2007,25614.79999999998
91,2008,13400.800000000001
92,2009,245052.50000000003
93,2010,322105.3000000001
94,2011,12983.300000000003
95,2012,100346.10000000015
96,2013,58033.30000000002
97,2014,363557.8
98,2015,283414.2
99,2016,121999.40000000002
100,2017,1222205.4000000008
101,2018,1350779.3999999987
0,2019,9197.0
